provincia,anio_inicio,anio_fin,caso,actores,tipo_tierra,mecanismo,detalle,estado_judicial,fuente,lat,lon,categoria_visual,intensidad,grupo_tematico,lat_jitter,lon_jitter,grupo_coord_id,orden_jitter,cantidad_en_grupo
Buenos Aires,1930,1939,Década Infame y activos públicos,"Gobierno nacional, élites políticas y económicas",Activos estatales,Negocios irregulares / corrupción,Contexto político útil para enmarcar la venta de tierras y otros negocios públicos,Marco histórico,Síntesis histórica,-36.6774,-60.5585,marco_legal,3,marco_legal,-36.6774,-60.55597983586505,Buenos Aires|-36.6774|-60.5585,1,2
Buenos Aires,1940,1940,El Palomar,"Legisladores, funcionarios nacionales, militares",Tierras militares / públicas,Venta con sobreprecios,Escándalo político por venta de tierras destinadas a ampliación militar,Investigado / escándalo político,Prensa histórica y reconstrucción periodística,-36.6774,-60.5585,corrupcion_historica,5,tierras_fiscales,-36.6774,-60.568580656539794,Buenos Aires|-36.6774|-60.5585,2,2
Chaco,1870,1950,Política de tierras fiscales,"Estado nacional, oficinas de tierras, colonos",Tierra fiscal,"Distribución, colonización, adjudicación",Proceso central para ocupar el territorio y expandir la frontera agrícola,Alto,Estudios académicos sobre tierras fiscales,-26.386,-60.765,tierras_fiscales,4,tierras_fiscales,-26.387750410670602,-60.763871871977614,Chaco|-26.386|-60.765,1,6
Chaco,1900,1999,Acceso ilegal a tierras fiscales,"Intermediarios, Estado, ocupantes",Tierras fiscales,Ocupación irregular,Línea de investigación sobre acaparamiento y acceso ilegal a tierras públicas,Alto,Investigación académica,-26.386,-60.765,tierras_fiscales,4,tierras_fiscales,-26.383199342927036,-60.766805004835824,Chaco|-26.386|-60.765,2,6
Chaco,1946,1955,Colonización del suelo fiscal,"Gobierno nacional, administración territorial",Suelo fiscal,Colonización / adjudicación,El peronismo reorganizó la administración y distribución del suelo en el territorio chaqueño,Alto,Repositorio académico,-26.386,-60.765,tierras_fiscales,4,tierras_fiscales,-26.386,-60.76003623670149,Chaco|-26.386|-60.765,3,6
Chaco,2009,2024,Tierras fiscales de Güemes,"Productor agropecuario, empresa Conexa SA, Instituto de Colonización",Tierras fiscales,Adjudicación y venta irregular,Sentencia que declaró nula la entrega de más de 600 hectáreas de tierras fiscales,Sentencia de nulidad,Litigio,-26.386,-60.765,sentencia_nulidad,5,disputa_judicial,-26.39090114987769,-60.76815875846269,Chaco|-26.386|-60.765,4,6
Chaco,2010,2024,Adjudicación irregular de tierras fiscales,Exfuncionarios del Colonización,Tierras fiscales,Corrupción administrativa,Exfuncionarios del organismo fueron condenados por corrupción en la adjudicación de tierras fiscales,Condena,Litigio,-26.386,-60.765,condena,5,disputa_judicial,-26.38004860371995,-60.76116436472388,Chaco|-26.386|-60.765,5,6
Chaco,2025,2026,Red Capitanich / tierras fiscales,"Jorge Capitanich, Marta Soneira, empresarios",Tierras fiscales,"Fraude, lavado, abuso de autoridad",Se investiga una red por adjudicación de tierras fiscales y delitos conexos,Imputación,Prensa judicial,-26.386,-60.765,disputa_judicial,5,disputa_judicial,-26.386,-60.77402502417911,Chaco|-26.386|-60.765,6,6
Entre Ríos,1823,1830,Primeras disposiciones sobre baldíos,"Gobierno provincial, poseedores, antiguos dueños",Tierras baldías / públicas,"Registro, posesión, adjudicación",Leyes que habilitaron a disponer de tierras abandonadas por persecuciones políticas y reconocer derechos posesorios,Marco legal,Estudio histórico,-32.0632,-59.201,marco_legal,2,marco_legal,-32.064950410670605,-59.20219250044846,Entre Ríos|-32.0632|-59.201,1,9
Entre Ríos,1861,1861,Arreglo de la tierra pública,"Legislatura provincial, gobernador Luis J. de la Peña",Tierra pública de pastoreo,Venta autorizada,La ley permitió vender 400 leguas de tierras de pastoreo reconocidas como públicas,Marco legal,Estudio histórico,-32.0632,-59.201,marco_legal,2,marco_legal,-32.064986403312496,-59.19848785205961,Entre Ríos|-32.0632|-59.201,2,9
